epoch,train_loss,train_accuracy,val_loss,val_accuracy
1.0,1.2135524090131125,0.5066666666666667,0.7479295676404779,0.45454545454545453
2.0,0.7258111119270325,0.47555555555555556,0.7279772595925764,0.45454545454545453
3.0,0.7562397718429565,0.4533333333333333,0.6906912218440663,0.5454545454545454
4.0,0.7133612211545308,0.5155555555555555,0.7099972258914601,0.5454545454545454
5.0,0.7391077862845526,0.49333333333333335,0.6968084682117809,0.45454545454545453
6.0,0.709204708205329,0.48444444444444446,0.7242107879031788,0.45454545454545453
7.0,0.7292751781145732,0.48,0.6889299696142023,0.5454545454545454
8.0,0.710634916888343,0.4444444444444444,0.689123663035306,0.5454545454545454
9.0,0.6965208249621921,0.49777777777777776,0.6992714675990018,0.45454545454545453
10.0,0.7088407956229316,0.49777777777777776,0.6902997385371815,0.5454545454545454
11.0,0.6966332822375827,0.44,0.6897146051580255,0.5454545454545454
12.0,0.7084118511941698,0.47555555555555556,0.6960273601792075,0.45454545454545453
13.0,0.7042463959587945,0.48,0.6918852112509988,0.6136363636363636
14.0,0.6945663608445062,0.52,0.6892103173516013,0.5454545454545454
15.0,0.7080194674597846,0.5155555555555555,0.7253565788269043,0.45454545454545453
16.0,0.7097566103935242,0.48,0.6889743317257274,0.5454545454545454
17.0,0.7176654632886251,0.44,0.711391031742096,0.45454545454545453
18.0,0.6975022048420376,0.5022222222222222,0.6898215142163363,0.5681818181818182
19.0,0.7300336201985677,0.49777777777777776,0.7111147967251864,0.45454545454545453
20.0,0.731967937151591,0.5022222222222222,0.6899653293869712,0.5454545454545454
