epoch,train_loss,train_accuracy,val_loss,val_accuracy,lr
1,0.7691419254988432,0.6484375,0.7388055383094719,0.8991596638655462,0.001
2,0.7157722357660532,0.546875,0.6205669453664988,0.6932773109243697,0.001
3,0.7067916840314865,0.5615234375,0.9896046303901351,0.19747899159663865,0.001
4,0.6906471624970436,0.5146484375,0.545305033691791,0.7899159663865546,0.001
5,0.6929981261491776,0.5556640625,1.066816290887464,0.1092436974789916,0.001
6,0.762276004999876,0.62109375,1.6132154354528219,0.10084033613445378,0.001
7,0.7035457724705338,0.5654296875,3.0980863225560222,0.8991596638655462,0.0005
8,0.6971918419003487,0.607421875,0.8358828430416203,0.24789915966386555,0.0005
9,0.6710528582334518,0.63671875,1.6133966856643933,0.10084033613445378,0.0005
10,0.6682563200592995,0.654296875,0.8855057159133506,0.8991596638655462,0.00025
11,0.632426992058754,0.62890625,1.3536721538094914,0.1092436974789916,0.00025
12,0.6118876775726676,0.666015625,0.518153624749985,0.8151260504201681,0.00025
13,0.6204576389864087,0.6767578125,0.49356632626482416,0.8907563025210085,0.00025
14,0.6110505312681198,0.6689453125,1.4672452842488009,0.10084033613445378,0.00025
15,0.6118498714640737,0.7587890625,2.2443239909260213,0.10084033613445378,0.00025
16,0.6018135379999876,0.65234375,0.6258886056412168,0.8991596638655462,0.000125
17,0.5618868488818407,0.69140625,1.554408849788313,0.1638655462184874,0.000125
18,0.5811528703197837,0.71484375,0.5487294998489508,0.8991596638655462,0.000125
19,0.5594374164938927,0.7216796875,0.8168276343025079,0.48739495798319327,6.25e-05
20,0.5406811637803912,0.7099609375,0.5144453221509436,0.8487394957983193,6.25e-05
21,0.547002125531435,0.7236328125,0.47525779026396137,0.8781512605042017,6.25e-05
22,0.5550394514575601,0.765625,0.6108253207996863,0.8991596638655462,6.25e-05
23,0.5362141691148281,0.7373046875,0.5097368948098993,0.8739495798319328,6.25e-05
24,0.5142660075798631,0.734375,1.3973850612880803,0.25630252100840334,3.125e-05
25,0.5125069161877036,0.7685546875,0.5367889525760122,0.8361344537815126,3.125e-05
26,0.5119099300354719,0.7568359375,0.7123983034065792,0.5966386554621849,3.125e-05
27,0.5298641202971339,0.751953125,0.673590696408969,0.6512605042016807,1.5625e-05
28,0.4972787871956825,0.7802734375,0.6195591470273603,0.7310924369747899,1.5625e-05
29,0.49312586430460215,0.765625,0.8150543435281065,0.5630252100840336,1.5625e-05
