epoch,train_loss,train_accuracy,val_loss,val_accuracy
1.0,0.7695151986554265,0.6640625,0.8851634649669423,0.10084033613445378
2.0,0.7670368945691735,0.5791015625,0.627441681232773,0.8991596638655462
3.0,0.7325250082649291,0.57421875,0.6392848045886064,0.8991596638655462
4.0,0.7330660154111683,0.732421875,0.5034845488912919,0.8991596638655462
5.0,0.6994395423680544,0.615234375,0.6144914051063922,0.8991596638655462
6.0,0.7081329533830285,0.6982421875,0.7756543670381818,0.10084033613445378
7.0,0.7118746428750455,0.8212890625,0.7953022943825281,0.10084033613445378
8.0,0.7307578888721764,0.5849609375,0.5987699647911456,0.8991596638655462
9.0,0.7025501071475446,0.66796875,0.761485590654261,0.10084033613445378
10.0,0.6953091332688928,0.826171875,0.5797303639540151,0.8991596638655462
11.0,0.6938556078821421,0.83984375,0.5611501185833907,0.8991596638655462
12.0,0.7065135105513036,0.6591796875,0.7605438032070128,0.10084033613445378
13.0,0.7098892484791577,0.6630859375,0.7190950718246588,0.10084033613445378
14.0,0.692439497448504,0.7490234375,0.6271395558068732,0.8991596638655462
15.0,0.694311446044594,0.779296875,0.5515239679512858,0.8991596638655462
16.0,0.7017204482108355,0.63671875,0.8260386706400318,0.10084033613445378
17.0,0.7027726611122489,0.744140625,0.6835027617566726,0.8949579831932774
18.0,0.6913623511791229,0.7998046875,0.6129098825094079,0.8991596638655462
19.0,0.6886221123859286,0.884765625,0.577125860863373,0.8991596638655462
20.0,0.6875565377995372,0.859375,0.5257807441619264,0.8991596638655462
