epoch,lr,train_loss,train_accuracy,val_loss,val_accuracy
1.0,0.001,0.983679084248013,0.5555555555555556,1.0975626490332864,0.5
2.0,0.001,0.6989220076137119,0.6844444444444444,1.7341631864282219,0.5227272727272727
3.0,0.001,0.5881511061721378,0.7377777777777778,1.6459496888247402,0.5454545454545454
4.0,0.0005,0.47096302085452607,0.7333333333333333,1.265546668659557,0.6363636363636364
5.0,0.0005,0.39139330837461683,0.7955555555555556,1.585852257230065,0.5227272727272727
6.0,0.0005,0.40282166361808774,0.8,1.1768197037956931,0.6136363636363636
7.0,0.00025,0.3097359788417816,0.8844444444444445,1.574855999513106,0.6363636363636364
8.0,0.00025,0.24344859798749288,0.8888888888888888,1.1314291954040527,0.6363636363636364
9.0,0.00025,0.2029618462589052,0.9288888888888889,1.756879611448808,0.5909090909090909
10.0,0.000125,0.12097147676679823,0.96,2.198534987189553,0.6136363636363636
11.0,0.000125,0.12690796070628696,0.9511111111111111,1.4442447098818691,0.6136363636363636
12.0,0.000125,0.07670071681340536,0.9777777777777777,1.4686183387582952,0.6590909090909091
13.0,6.25e-05,0.10487939145829943,0.96,1.647871039130471,0.6136363636363636
14.0,6.25e-05,0.07813909557130602,0.9688888888888889,1.4711537794633345,0.5909090909090909
15.0,6.25e-05,0.06729826662275526,0.9777777777777777,1.5231122320348567,0.6363636363636364
16.0,3.125e-05,0.04588765025138855,0.9911111111111112,1.6949471560391514,0.6363636363636364
17.0,3.125e-05,0.054890222284528944,0.9866666666666667,1.7403949607502331,0.6136363636363636
18.0,3.125e-05,0.028270099030600654,0.9911111111111112,1.6255753257057883,0.6363636363636364
19.0,1.5625e-05,0.027789891494645013,0.9955555555555555,1.6646421172402122,0.6363636363636364
20.0,1.5625e-05,0.029361767371495564,0.9955555555555555,1.655808080326427,0.6363636363636364
