epoch,lr,train_loss,train_accuracy,val_loss,val_accuracy
1.0,0.001,0.905369215644896,0.55078125,0.8075571189157101,0.8739495798319328
2.0,0.001,0.6679618125781417,0.6552734375,2.0843202787287094,0.10084033613445378
3.0,0.001,0.6526300087571144,0.5712890625,0.8035185409694159,0.542016806722689
4.0,0.001,0.6395757682621479,0.689453125,0.588339179128158,0.8361344537815126
5.0,0.001,0.6735794795677066,0.689453125,1.263756790080992,0.33613445378151263
6.0,0.001,0.6543816532939672,0.6923828125,0.9134366422140298,0.36554621848739494
7.0,0.0005,0.579078403301537,0.6904296875,0.6244538688108701,0.8235294117647058
8.0,0.0005,0.5700724190101027,0.6806640625,0.7075121896106655,0.6134453781512605
9.0,0.0005,0.4950811555609107,0.7490234375,0.5718515072049213,0.7058823529411765
10.0,0.0005,0.4552888637408614,0.767578125,0.766710199227854,0.6932773109243697
11.0,0.0005,0.49331285804510117,0.7587890625,0.6582956560770002,0.8277310924369747
12.0,0.00025,0.4479167377576232,0.796875,1.3242862985915496,0.31932773109243695
13.0,0.00025,0.4054818949662149,0.7958984375,0.5719262277629195,0.7436974789915967
14.0,0.00025,0.32417703280225396,0.8671875,0.5210370436435988,0.7773109243697479
15.0,0.00025,0.34554412704892457,0.880859375,0.7112565291028062,0.6848739495798319
16.0,0.00025,0.31476133270189166,0.9091796875,0.6431658565998077,0.7436974789915967
17.0,0.000125,0.2746161862742156,0.904296875,1.021544326253298,0.6512605042016807
18.0,0.000125,0.24083386058919132,0.908203125,0.598891400990366,0.8949579831932774
19.0,0.000125,0.2460610129055567,0.921875,0.62622545722152,0.8361344537815126
20.0,6.25e-05,0.21937883575446904,0.947265625,0.7145520803056845,0.7689075630252101
21.0,6.25e-05,0.19102597510209307,0.951171875,0.6383249494521057,0.8907563025210085
22.0,6.25e-05,0.1359489456517622,0.95703125,0.5998329686767915,0.8487394957983193
